Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Route 98 - Minimart],Price [Route 98 - Minimart],In stock [Route 98 - Minimart],Low stock [Route 98 - Minimart],IMAGE LINK
misc,10235,#misc,,,N,,,,,,,0,,,,N,Y,variable,,,
1-case-softdrinks,10237,1 Case Softdrinks,DRINKS,,N,,,,,,,210,,,,N,Y,230,,,
555-sardines-155g,10261,555 SARDINES 155G,FOOD,,N,,,,,,,23.45,748485200019,,,Y,Y,26,12,,
555-sardines-155g-1,10262,555 SARDINES 155G,FOOD,,N,,,,,,,23.45,748485200019,,,Y,Y,25.98,6,,
absolute-6000ml,10277,ABSOLUTE 6000ML,DRINKS,,N,,,,,,,72,4800014700004,,,Y,Y,84.98,2,,
advance-10w-40-800ml,10351%,ADVANCE 10W-40 800ML,SHELL,,N,,,,,,,0,5011987095304,,,Y,Y,353,7,,
advance-15w-40-800ml,10351,ADVANCE 15W-40 800ML,SHELL,,N,,,,,,,0,5011987090453,,,Y,Y,289,6,,
advance-20w-40-800ml,1035,ADVANCE 20W-40 800ML,SHELL,,N,,,,,,,0,5011987060593,,,N,Y,269,,,
advance-sx2-200ml,12420695,ADVANCE SX2 200ML,SHELL,,N,,,,,,,0,,,,Y,Y,59,27,,
advance-sx2-with-decarbonizer-1l,10351@,ADVANCE SX2 WITH DECARBONIZER 1L,SHELL,,N,,,,,,,0,5011987061538,,,Y,Y,289,14,4,
ajinomoto-ssning,10045,AJINOMOTO SSNING,FOOD,,N,,,,,,,0,4801958341100,,,Y,Y,4.98,468,,
alfonso-light-1l,10274,ALFONSO LIGHT 1L,DRINKS,,N,,,,,,,278.46,8410028900091,,,Y,Y,319.98,3,,
ariel-lau--pwd-90gx168-srf-ghs,98000002,ARIEL POWDER TWIN JUMBO PACK FLORAL PASSION,Cleaning/Laundry Supplies,,N,,,,,,,15.12,4987176116833,,,Y,Y,19.98,24,10,
ariel-(twin-jumbo-pack)-with-downy,98000001,ARIEL POWDER TWIN JUMBO PACK FRESH GARDEN BLOOM,Cleaning/Laundry Supplies,,N,,,,,,,15.12,4987176067029,,,Y,Y,19.98,36,10,
ariel-power-liquid-floral-passion,98000005,ARIEL POWER LIQUID FLORAL PASSION,Cleaning/Laundry Supplies,,N,,,,,,,14.12,4902430764902,,,Y,Y,18.98,12,3,
ariel-power-liquid-sunrise-fresh,98000004,ARIEL POWER LIQUID SUNRISE FRESH,Cleaning/Laundry Supplies,,N,,,,,,,14.32,4902430764858,,,Y,Y,18.98,12,,
ariel-sunrise-fresh-t,98000003,ARIEL SUNRISE FRESH 66G,Cleaning/Laundry Supplies,,N,,,,,,,15.12,4902430583169,,,Y,Y,19.98,64,20,
ariel-tipid-3x-sunrise-fresh,980000032,ARIEL TIPID 3X SUNRISE FRESH,Cleaning/Laundry Supplies,,N,,,,,,,20.32,4987176116833,,,Y,Y,26.98,24,5,
