Receipt no,Date,Employee,Type,Total
"2-0129","Aug 28, 2026 02:32 PM","Owner","Sale",44.96
"2-0128","Aug 28, 2026 01:44 PM","Owner","Sale",150.00
"2-0127","Aug 28, 2026 01:43 PM","Owner","Sale",46.00
"2-0126","Aug 28, 2026 12:24 PM","Owner","Sale",20.00
"2-0125","Aug 28, 2026 12:02 PM","Owner","Sale",25.00
"2-0124","Aug 28, 2026 11:36 AM","Owner","Sale",25.00
"2-0123","Aug 28, 2026 11:00 AM","Owner","Sale",18.00
"2-0122","Aug 27, 2026 11:02 PM","Owner","Sale",12.98
"2-0121","Aug 27, 2026 10:58 PM","Owner","Sale",9.98
"2-0120","Aug 27, 2026 10:53 PM","Owner","Sale",10.00
"2-0119","Aug 27, 2026 10:46 PM","Owner","Sale",30.00
"2-0118","Aug 27, 2026 10:13 PM","Owner","Sale",49.90
"1-0330","Aug 27, 2026 09:39 PM","Owner","Sale",864.98
"1-0329","Aug 27, 2026 09:35 PM","Owner","Sale",75.00
"2-0117","Aug 27, 2026 09:17 PM","Owner","Sale",99.98
"2-0116","Aug 27, 2026 06:15 PM","Owner","Sale",15.00
"2-0115","Aug 27, 2026 06:00 PM","Owner","Sale",84.98
"2-0114","Aug 27, 2026 05:58 PM","Owner","Sale",20.00
"2-0113","Aug 27, 2026 05:53 PM","Owner","Sale",44.98
"2-0112","Aug 27, 2026 03:05 PM","Owner","Sale",20.00
"2-0111","Aug 27, 2026 03:02 PM","Owner","Sale",75.00
"2-0110","Aug 27, 2026 02:39 PM","Owner","Sale",184.98
"2-0109","Aug 27, 2026 02:28 PM","Owner","Sale",36.00
"2-0108","Aug 27, 2026 02:19 PM","Owner","Sale",12.98
"2-0107","Aug 27, 2026 02:14 PM","Owner","Sale",79.96
"2-0106","Aug 27, 2026 11:42 AM","Owner","Sale",23.00
"2-0105","Aug 27, 2026 11:40 AM","Owner","Sale",15.00
"2-0104","Aug 27, 2026 11:07 AM","Owner","Sale",258.92
"2-0103","Aug 27, 2026 11:01 AM","Owner","Sale",71.96
"2-0102","Aug 26, 2026 09:04 PM","Owner","Sale",20.00
"2-0101","Aug 26, 2026 09:00 PM","Owner","Sale",27.96
