Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost / Manufacturer Price,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Route 98 - Minimart],Price [Route 98 - Minimart],In stock [Route 98 - Minimart],Low stock [Route 98 - Minimart],,IMAGE LINK
misc,10235,#misc,,,N,,,,,,,0,,,,N,Y,variable,,,,
1-case-softdrinks,10237,1 Case Softdrinks,DRINKS,,N,,,,,,,210,,,,N,Y,230,,,,https://lzd-img-global.slatic.net/g/p/6849e42336999bba304f635c3addb504.jpg_720x720q80.jpg
555-sardines-155g,10261,555 SARDINES 155G,FOOD,,N,,,,,,,23.45,7.48485E+11,,,Y,Y,26,12,,,https://thephilippinestoreglasgow.co.uk/cdn/shop/files/4.png?v=1702384798
555-sardines-155g-1,10262,555 SARDINES 155G,FOOD,,N,,,,,,,23.45,7.48485E+11,,,Y,Y,26,6,,,https://thephilippinestoreglasgow.co.uk/cdn/shop/files/4.png?v=1702384798
absolute-6000ml,10277,ABSOLUTE 6000ML,DRINKS,,N,,,,,,,72,4.80001E+12,,,Y,Y,85,2,,,https://store.iloilosupermart.com/wp-content/uploads/2020/05/45645-1.jpg
ajinomoto-ssning,10045,AJINOMOTO SSNING,FOOD,,N,,,,,,,0,4.80196E+12,,,Y,Y,5,468,,,https://www.ajinomoto.com.ph/wp-content/uploads/2026/05/simu-aji-paper-90g-copy-scaled.png
alfonso-light-1l,10274,ALFONSO LIGHT 1L,DRINKS,,N,,,,,,,278.46,8.41003E+12,,,Y,Y,320,3,,,https://img.lazcdn.com/g/p/827d2bdb7ef834209380dfb3835e9679.png_720x720q80.png
ariel-sunrise-fresh-t,10269,ARIEL SUNRISE FRESH 66G,Cleaning/Laundry Supplies,,N,,,,,,,14,4.90243E+12,,,Y,Y,17,9,,,https://img.lazcdn.com/g/p/6564815ede660e28db50356aea738228.jpg_720x720q80.jpg
axion,10021,AXION,Cleaning/Laundry Supplies,<p>KALAMANSI / GREEN</p>,N,,,,,,,0,9.55603E+12,,,Y,Y,13,34,,,https://lzd-img-global.slatic.net/g/p/37d2c0da0864b89b6e59689437c23c0d.jpg_720x720q80.jpg
bareta-bar-blue,10093,BARETA BAR BLUE,Cleaning/Laundry Supplies,,N,,,,,,,0,4.80602E+12,,,Y,Y,25,14,,,http://shopsuki.ph/cdn/shop/products/4806020491448_1024x.jpg?v=1670549363
bareta-bar-kalamansi,10092,BARETA BAR KALAMANSI,Cleaning/Laundry Supplies,,N,,,,,,,0,4.80602E+12,,,Y,Y,25,7,,,http://shopsuki.ph/cdn/shop/files/102066068_1024x.jpg?v=1683072147
bareta-bar-speckled-blue,10095,BARETA BAR SPECKLED BLUE,Cleaning/Laundry Supplies,,N,,,,,,,0,4.80602E+12,,,Y,Y,25,14,,,http://shopsuki.ph/cdn/shop/products/4806020491448_1024x.jpg?v=1670549363
bareta-bar-w/-fabcon,10101,BARETA BAR W/ FABCON,Cleaning/Laundry Supplies,,N,,,,,,,0,4.80602E+12,,,Y,Y,26,11,,,http://shopsuki.ph/cdn/shop/files/4806020491509_1024x.png?v=1717582402
bbrand-swak,10169,BBRAND SWAK,FOOD,,N,,,,,,,0,4.80036E+12,,,Y,Y,15,16,,,https://lzd-img-global.slatic.net/g/p/d0d1afd7b66a60722165fc494ca11da5.png_720x720q80.jpg_.webp
bbrand-swak-choco,10170,BBRAND SWAK CHOCO,FOOD,,N,,,,,,,0,4.80036E+12,,,Y,Y,15,16,,,https://shopmetro.ph/banilad-supermarket/wp-content/uploads/2024/05/SM102813485_1-2.jpg
bestguard-epoxy-steel,10313,BESTGUARD EPOXY STEEL,HOME ESSENTIALS,,N,,,,,,,0,6.95511E+12,,,Y,Y,45,14,,,https://lzd-img-global.slatic.net/g/ff/kf/Hd0941d8cde224fcea081a645e3ba572fp.jpg_720x720q80.jpg_.webp
black-chili-cchips-bbq,10187,BLACK CHILI CCHIPS BBQ,SNACKS,,N,,,,,,,0,4.80037E+12,,,Y,Y,12,9,,,http://shopsuki.ph/cdn/shop/files/107256334_1024x.png?v=1713330942
