Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Route 98 - Minimart],Price [Route 98 - Minimart],In stock [Route 98 - Minimart],Low stock [Route 98 - Minimart],IMAGE LINK
misc,10235,#misc,,,N,,,,,,,0,,,,N,Y,variable,,,https://visualeducation.com/wp-content/uploads/2017/05/product-photography-white-background-pack-shot-posterframe.jpg
1-case-softdrinks,10237,1 Case Softdrinks,DRINKS,,N,,,,,,,210,,,,N,Y,230,,,https://img.freepik.com/premium-photo/bottles-soft-drinks-white-background_495423-33753.jpg
555-sardines-155g,10261,555 SARDINES 155G,FOOD,,N,,,,,,,23.45,748485200019,,,Y,Y,26,12,,https://bf1af2.akinoncloudcdn.com/products/2024/09/11/65182/fc44aba3-b32c-4ac0-8ef8-12a5c8a755ac.jpg
555-sardines-155g-1,10262,555 SARDINES 155G,FOOD,,N,,,,,,,23.45,748485200019,,,Y,Y,25.98,6,,https://bf1af2.akinoncloudcdn.com/products/2024/09/11/65182/fc44aba3-b32c-4ac0-8ef8-12a5c8a755ac.jpg
absolute-6000ml,10277,ABSOLUTE 6000ML,DRINKS,,N,,,,,,,72,4800014700004,,,Y,Y,84.98,2,,https://store.iloilosupermart.com/wp-content/uploads/2020/05/45645-1.jpg
ajinomoto-ssning,10045,AJINOMOTO SSNING,FOOD,,N,,,,,,,0,4801958341100,,,Y,Y,4.98,468,,http://bongveggy.com/cdn/shop/files/image_1024.png?v=1708085200
alfonso-light-1l,10274,ALFONSO LIGHT 1L,DRINKS,,N,,,,,,,278.46,8410028900091,,,Y,Y,319.98,3,,https://centaurusint.net/images/products/WHI3106.png
ariel-sunrise-fresh-t,10269,ARIEL SUNRISE FRESH 66G,Cleaning/Laundry Supplies,,N,,,,,,,14,4902430583169,,,Y,Y,17.98,7,,https://allmartshop.com/cdn/shop/files/ArielPowderSunriseFreshTwinJumboPack66g.jpg?v=1736412902
axion,10021,AXION,Cleaning/Laundry Supplies,<p>KALAMANSI / GREEN</p>,N,,,,,,,0,9556031097058,,,Y,Y,12.98,34,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRVqQdy1gHyfuEmydjYBErVDi20n4SEsGtaJkQP_LN9QA&s
bareta-bar-blue,10093,BARETA BAR BLUE,Cleaning/Laundry Supplies,,N,,,,,,,0,4806020491417,,,Y,Y,24.98,14,,https://shopsuki.ph/cdn/shop/products/4806020491448_800x.jpg?v=1670549363
bareta-bar-kalamansi,10092,BARETA BAR KALAMANSI,Cleaning/Laundry Supplies,,N,,,,,,,0,4806020491431,,,Y,Y,24.98,7,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ1baA3oWlrfs3ciGo0q32q-D0ZFs-u5W1CVcvnjOsO-g&s
bareta-bar-speckled-blue,10095,BARETA BAR SPECKLED BLUE,Cleaning/Laundry Supplies,,N,,,,,,,0,4806020491448,,,Y,Y,24.98,14,,https://shopsuki.ph/cdn/shop/products/4806020491448_800x.jpg?v=1670549363
bareta-bar-w/-fabcon,10101,BARETA BAR W/ FABCON,Cleaning/Laundry Supplies,,N,,,,,,,0,4806020491509,,,Y,Y,25.98,11,,https://shopsuki.ph/cdn/shop/files/4806020491509_800x.png?v=1717582402
bbrand-swak,10169,BEAR BRAND SWAK,FOOD,,N,,,,,,,9,4800361410816,,,Y,Y,14.98,15,,https://lzd-img-global.slatic.net/g/p/d0d1afd7b66a60722165fc494ca11da5.png_720x720q80.jpg_.webp
bbrand-swak-choco,10170,BEAR BRAND SWAK CHOCO,FOOD,,N,,,,,,,9,4800361409117,,,Y,Y,14.98,16,,https://pinoyhyper.com/cdn/shop/files/bear-brand-fortified-choco-milk-drink-swak-pack-8-x-29g-pinoyhyper-1.jpg?v=1738873985&width=1346
bestguard-epoxy-steel,10313,BESTGUARD EPOXY STEEL,HOME ESSENTIALS,,N,,,,,,,0,6955107678161,,,Y,Y,44.98,14,,https://lzd-img-global.slatic.net/g/ff/kf/Hd0941d8cde224fcea081a645e3ba572fp.jpg_720x720q80.jpg_.webp
blkchili-bbq-7g,10180,BLACK CHILI BBQ 7G,SNACKS,,N,,,,,,,0,4800365221036,,,Y,Y,2,18,,https://cdn.store-assets.com/s/377840/i/17546942.jpg
