SKU,Name (new export),Matched old SKU,Old name,Note
10351.,ADVANCE 15W-40 800ML,,,SKU changed: was 10351
10045,AJINOMOTO SEASONING,,,"renamed: was ""AJINOMOTO SSNING"""
98000003,ARIEL TWIN JUMBO POWDER SUNRISE FRESH 66G,,,"renamed: was ""ARIEL SUNRISE FRESH 66G"""
10129,C2 SOLO APPLE 230ML,,,"renamed: was ""C2 230ML"""
10324,CHEEZ IT 60G,10324,NISSIN BUTTER COCONUT,"SKU 10324 now belongs to ""NISSIN BUTTER COCONUT"" -> treated as new item, no link"
10231,CLOUD 9 CLASSIC,,,"renamed: was ""CLOUD 9 CLSSC"""
10273,CLVB 1 LTR,,,"renamed: was ""CLVB 1LTR"""
10241,COBRA ASTIG 330ML,,,"renamed: was ""COBRA ENERGY DRINK 330ML"""
10351,COBRA ENERGY DRINK ASTIG 290ML,10351,ADVANCE 15W-40 800ML,"SKU 10351 now belongs to ""ADVANCE 15W-40 800ML"" -> treated as new item, no link"
98000046,COCA COLA 1.75L,,,SKU changed: was 10115
10358,CREAMLINE BUKO SALAD 1.3ML,,,"renamed: was ""CREAMLINE 1.3 BUKO SALAD"""
10354,CREAMLINE COOLERS MANGO 70ML,,,"renamed: was ""CREAMLINE COOLERS MANGO 50ML"""
10371,CREAMLINE COOLERS MELON 70ML,,,"renamed: was ""CREAMLINE COOLERS MELON 50ML"""
10357,CREAMLINE FAMILY DOU COOKIES&CREAM/CHOCO 950ML,,,"renamed: was ""CREAMLINE FAMILY DOU COOKIES&CREAM/CHOCO950ML"""
10356,CREAMLINE FAMILY DUO BUCO SALAD/UBE 950ML,,,"renamed: was ""CREAMLINE FAMILY DUO COOKIES&CREAM/CHOCO"""
10146,CRISPY PATATA 24G,,,"renamed: was ""CRISPY PATATA"""
10255,DAILY SCENT 25ML,,,"renamed: was ""Daily scent lazy afternoon"""
10168,DATU PUTI SOY SAUCE 385ML,10168,LUCKYME PANCITCANTON CHILIMANSI,"SKU 10168 now belongs to ""LUCKYME PANCITCANTON CHILIMANSI"" -> treated as new item, no link"
98000131,DINGDONG SNACK MIX WITH  CHIPS CURLS 100G,,,"handle match, name changed: was ""DINGDONG SNACK MIX 100G"" (10393Q)"
10205,GREAT TASTE WHITE,,,"renamed: was ""GREAT TASTE WHITE S."""
10181,HAPPY HOT N SPICY,,,"renamed: was ""HAPPY HOTNSPCY"""
9800030,LUCKYME PANCITCANTON CHILIMANSI,,,SKU changed: was 10168
10165,LUCKYME PANCITCANTON KALAMANSI,,,"renamed: was ""LUCKYME PANCITCANTON KAL"""
10001,MAGIC FLAKES PACK,10001,WILKINS PURE 500,"SKU 10001 now belongs to ""WILKINS PURE 500"" -> treated as new item, no link"
10382@,MAGIC SARAP SACHET,,,"renamed: was ""MAGIC SARAP SACHIT"""
10209,MAMA SITA OYSTER SAUCE 30G,10209,PRESTO CHOCO VANILLA,"SKU 10209 now belongs to ""PRESTO CHOCO VANILLA"" -> treated as new item, no link"
98000071,MANG JUAN SUKAT SILI 26G,,,SKU changed: was 10141
10206,NIPS MILK CHOCO 14G,,,"renamed: was ""NIPS MILK CHOCO"""
10203,NIPS PEANUT 14G,,,"renamed: was ""NIPS PEANUT"""
9800125,NISSIN BUTTER COCONUT 14G,,,"handle match, name changed: was ""NISSIN BUTTER COCONUT"" (10324)"
10108,NUTRIBOOST CHOCO PACK,10108,WILKINS PURE 1L,"SKU 10108 now belongs to ""WILKINS PURE 1L"" -> treated as new item, no link"
10115,NUTRIBOOST STRWBRRY PACK,10115,COCA COLA 1.75L,"SKU 10115 now belongs to ""COCA COLA 1.75L"" -> treated as new item, no link"
10106,NUTRIBOOST STRWBRRY PACK 6S,10106,TIDE POWDER JUMBO PACK DOWNY,"SKU 10106 now belongs to ""TIDE POWDER JUMBO PACK DOWNY"" -> treated as new item, no link"
10256,OVERLOAD CHOCOSTRWBRRY 10s,,,"renamed: was ""OVERLOAD CHOCOSTRWBRRY"""
98000076,POCARI SWEAT 500ML,,,SKU changed: was 10386
98000123,PRESTO CHOCO VANILLA,,,SKU changed: was 10209
98000121,PRESTO PEANUT BUTTER,,,SKU changed: was 10208
10141,RED HORSE SUPER,10141,MANG JUAN SUKAT SILI 26G,"SKU 10141 now belongs to ""MANG JUAN SUKAT SILI 26G"" -> treated as new item, no link"
10386,RICHEE 60G,10386,POCARI SWEAT 500ML,"SKU 10386 now belongs to ""POCARI SWEAT 500ML"" -> treated as new item, no link"
10252,Royal 1.5L,,,"renamed: was ""Royal 1.75"""
10383,ROYAL 1.75L,10383,PEPSI EXTRA FIZZ 195ML,"SKU 10383 now belongs to ""PEPSI EXTRA FIZZ 195ML"" -> treated as new item, no link"
10240,SHELL BRAKE AND CLUTCH FLUID,10240,VITAMILK(DOUBLECHOCO) 300ML,"SKU 10240 now belongs to ""VITAMILK(DOUBLECHOCO) 300ML"" -> treated as new item, no link"
10382,SILVER SWAN SOY SAUCE 385ML,10382,MAGIC SARAP SACHIT,"SKU 10382 now belongs to ""MAGIC SARAP SACHIT"" -> treated as new item, no link"
10208,SILVER SWAN SUKANG PUTI 385ML,10208,PRESTO PEANUT BUTTER,"SKU 10208 now belongs to ""PRESTO PEANUT BUTTER"" -> treated as new item, no link"
10396,TATTOOS CORN TUBE PIZZA 60G,,,"renamed: was ""TATTOOS CORN TUBE 60G"""
10397,TATTOOS TUBE SPICY PIZZA 60G,,,"renamed: was ""TATTOOS TUBE PIZZA 60G"""
98000108,VITAMILK(DOUBLECHOCO) 300ML,,,SKU changed: was 10240
98000048,WILKINS PURE 1L,,,SKU changed: was 10108
98000047,WILKINS PURE 500,,,SKU changed: was 10001
