Date,Receipt number,Receipt type,Gross sales,Discounts,Net sales,Taxes,Total collected,Cost of goods,Gross profit,Payment type,Description,Dining option,POS,Store,Cashier name,Customer name,Customer contacts,Status
24/09/2026 23:38,2-1314,Sale,33.50,0.00,33.50,0.00,33.50,25.65,7.85,Cash,1 x OISHI FISH CRACKERS 90G,Dine in,POS 2,Route 98 - Minimart,Owner,,,Closed
24/09/2026 23:37,2-1313,Sale,50.00,0.00,50.00,0.00,50.00,28.52,21.48,Cash,2 x NATURE'S SPRING PURE 1000ML,Dine in,POS 2,Route 98 - Minimart,Owner,,,Closed
24/09/2026 23:35,2-1312,Sale,268.00,0.00,268.00,0.00,268.00,203.90,64.10,Cash,"1 x GSM BLUE MOJITO, 4 x DINGDONG MIXNUTS 5G, 1 x FISH CRACKERS 24G, 10 x DINGDONG MIXNUTS 5G, 10 x HAPPY CHICKEN ADOBO 5G, 1 x ICE CUBE 1KG, 1 x CREAMLINE JUMBO CONE UBE QUESO 140ML",Dine in,POS 2,Route 98 - Minimart,Owner,,,Closed
24/09/2026 23:32,2-1311,Sale,2.00,0.00,2.00,0.00,2.00,0.00,2.00,Cash,1 x #misc,Dine in,POS 2,Route 98 - Minimart,Owner,,,Closed
24/09/2026 23:29,2-1310,Sale,36.00,0.00,36.00,0.00,36.00,27.30,8.70,Cash,3 x WINSTON RED STICK,Dine in,POS 2,Route 98 - Minimart,Owner,,,Closed
24/09/2026 23:17,2-1309,Sale,39.00,0.00,39.00,0.00,39.00,25.80,13.20,Cash,"1 x PILLOWS UBE 24G, 3 x CLOUD 9 CLASSIC",Dine in,POS 2,Route 98 - Minimart,Owner,,,Closed
24/09/2026 23:14,2-1308,Sale,12.00,0.00,12.00,0.00,12.00,9.10,2.90,Cash,1 x WINSTON RED STICK,Dine in,POS 2,Route 98 - Minimart,Owner,,,Closed
24/09/2026 23:01,2-1307,Sale,65.00,0.00,65.00,0.00,65.00,45.50,19.50,Cash,"5 x WINSTON RED STICK, 1 x #misc",Dine in,POS 2,Route 98 - Minimart,Owner,,,Closed
24/09/2026 22:55,2-1306,Sale,87.00,0.00,87.00,0.00,87.00,69.10,17.90,Cash,"1 x RED HORSE 500, 1 x WINSTON RED STICK",Dine in,POS 2,Route 98 - Minimart,Owner,,,Closed
24/09/2026 22:32,2-1305,Sale,148.25,0.00,148.25,0.00,148.25,116.70,31.55,Cash,"3 x CREAMLINE JUMBO CONE UBE QUESO 140ML, 1 x MANG JUAN SUKANG PAOMBONG 90G, 1 x MARTY'S CRACKLINGS SPCY VNGR 90G",Dine in,POS 2,Route 98 - Minimart,Owner,,,Closed
24/09/2026 22:00,2-1304,Sale,264.75,0.00,264.75,0.00,264.75,206.44,58.31,Cash,"1 x TANDUAY SELECT 700ML, 1 x COCA COLA 1L BOTTLE, 1 x ICE CUBE 1KG, 2 x PLASTIC CUPS, 1 x CHIPPY BBQ 108G",Dine in,POS 2,Route 98 - Minimart,Owner,,,Closed
24/09/2026 21:56,2-1303,Sale,51.00,0.00,51.00,0.00,51.00,36.26,14.74,Cash,"1 x #misc, 1 x COCA COLA 290ML, 2 x NIPS PEANUT 14G, 1 x MIGHTY PULA  STICK",Dine in,POS 2,Route 98 - Minimart,Owner,,,Closed
24/09/2026 21:31,2-1302,Sale,24.00,0.00,24.00,0.00,24.00,18.20,5.80,Cash,2 x WINSTON RED STICK,Dine in,POS 2,Route 98 - Minimart,Owner,,,Closed
24/09/2026 21:31,2-1301,Sale,3.00,0.00,3.00,0.00,3.00,0.00,3.00,Cash,1 x PLASTIC CUPS,Dine in,POS 2,Route 98 - Minimart,Owner,,,Closed
24/09/2026 21:29,2-1300,Sale,28.50,0.00,28.50,0.00,28.50,24.00,4.50,Card,"1 x PIATTOS SOUR CREAM 40G, 1 x CHEEZ IT",Dine in,POS 2,Route 98 - Minimart,Owner,,,Closed
24/09/2026 21:28,2-1299,Sale,20.00,0.00,20.00,0.00,20.00,16.04,3.96,Cash,"1 x MIGHTY PULA  STICK, 1 x MIGHTY PUTI STICK",Dine in,POS 2,Route 98 - Minimart,Owner,,,Closed
24/09/2026 21:27,2-1298,Sale,110.00,0.00,110.00,0.00,110.00,86.90,23.10,Cash,1 x KULAFU 700ML,Dine in,POS 2,Route 98 - Minimart,Owner,,,Closed
24/09/2026 21:27,2-1297,Sale,220.00,0.00,220.00,0.00,220.00,130.80,89.20,Cash,"1 x VINO KULAFU 350, 1 x KULAFU 700ML, 1 x Royal 1.25L",Dine in,POS 2,Route 98 - Minimart,Owner,,,Closed
24/09/2026 21:14,2-1296,Sale,88.92,0.00,88.92,0.00,88.92,64.50,24.42,Cash,"1 x C2 SOLO APPLE 230ML, 4 x PANTENE SHAMPOO NOURISHED SHINE, 3 x ENERGEN CHOCO",Dine in,POS 2,Route 98 - Minimart,Owner,,,Closed
24/09/2026 21:10,2-1295,Sale,905.00,0.00,905.00,0.00,905.00,744.00,161.00,Cash,"6 x RED HORSE LITRO, 1 x ICE CUBE 2KG",Dine in,POS 2,Route 98 - Minimart,Owner,,,Closed
