Date,Gross sales,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
21/09/2026,1291.16,0.00,0.00,1291.16,987.35,303.81,23.53%,0.00
20/09/2026,6015.21,0.00,0.00,6015.21,4481.83,1533.38,25.49%,0.00
19/09/2026,6440.60,0.00,0.00,6440.60,4274.69,2165.91,33.63%,0.00
18/09/2026,2855.42,0.00,0.00,2855.42,1851.07,1004.35,35.17%,0.00
17/09/2026,1048.59,0.00,0.00,1048.59,725.58,323.01,30.80%,0.00
16/09/2026,2549.68,0.00,0.00,2549.68,1817.64,732.04,28.71%,0.00
15/09/2026,4633.65,0.00,0.00,4633.65,3482.95,1150.70,24.83%,0.00
14/09/2026,4795.67,0.00,0.00,4795.67,3410.23,1385.44,28.89%,0.00
13/09/2026,3140.91,0.00,0.00,3140.91,2136.62,1004.29,31.97%,0.00
12/09/2026,2611.55,0.00,0.00,2611.55,2052.56,558.99,21.40%,0.00
11/09/2026,2950.18,0.00,0.00,2950.18,1966.01,984.17,33.36%,0.00
10/09/2026,2977.73,0.00,0.00,2977.73,1916.99,1060.74,35.62%,0.00
09/09/2026,5273.02,0.00,0.00,5273.02,3961.70,1311.32,24.87%,0.00
08/09/2026,4331.66,0.00,0.00,4331.66,2439.86,1891.80,43.67%,0.00
07/09/2026,3308.46,0.00,0.00,3308.46,2346.42,962.04,29.08%,0.00
06/09/2026,6475.47,0.00,0.00,6475.47,4552.89,1922.58,29.69%,0.00
05/09/2026,3706.41,0.00,0.00,3706.41,2701.44,1004.97,27.11%,0.00
04/09/2026,3236.09,0.00,0.00,3236.09,2132.64,1103.45,34.10%,0.00
03/09/2026,2031.32,0.00,0.00,2031.32,1178.30,853.02,41.99%,0.00
02/09/2026,1466.81,0.00,0.00,1466.81,986.44,480.37,32.75%,0.00
01/09/2026,2383.78,0.00,0.00,2383.78,1891.22,492.56,20.66%,0.00
31/08/2026,3623.78,0.00,0.00,3623.78,2218.51,1405.27,38.78%,0.00
30/08/2026,2665.40,0.00,0.00,2665.40,1759.34,906.06,33.99%,0.00
29/08/2026,1282.66,0.00,0.00,1282.66,925.13,357.53,27.87%,0.00
28/08/2026,3219.52,0.00,0.00,3219.52,2312.94,906.58,28.16%,0.00
27/08/2026,2095.58,0.00,0.00,2095.58,1564.28,531.30,25.35%,0.00
26/08/2026,1858.76,0.00,0.00,1858.76,1266.78,591.98,31.85%,0.00
25/08/2026,1764.42,0.00,0.00,1764.42,1088.38,676.04,38.32%,0.00
24/08/2026,1847.20,0.00,0.00,1847.20,1085.94,761.26,41.21%,0.00
23/08/2026,3401.02,0.00,0.00,3401.02,2117.74,1283.28,37.73%,0.00
22/08/2026,2541.74,0.00,0.00,2541.74,1556.61,985.13,38.76%,0.00
21/08/2026,2689.00,0.00,0.00,2689.00,1306.34,1382.66,51.42%,0.00
20/08/2026,938.00,0.00,0.00,938.00,298.11,639.89,68.22%,0.00
19/08/2026,1705.00,0.00,0.00,1705.00,750.99,954.01,55.95%,0.00
18/08/2026,995.00,0.00,0.00,995.00,422.71,572.29,57.52%,0.00
17/08/2026,717.00,0.00,0.00,717.00,221.70,495.30,69.08%,0.00
16/08/2026,1637.00,0.00,0.00,1637.00,560.98,1076.02,65.73%,0.00
15/08/2026,1790.50,0.00,0.00,1790.50,725.00,1065.50,59.51%,0.00
14/08/2026,844.00,0.00,0.00,844.00,290.91,553.09,65.53%,0.00
13/08/2026,179.00,0.00,0.00,179.00,15.50,163.50,91.34%,0.00
12/08/2026,778.00,0.00,0.00,778.00,50.82,727.18,93.47%,0.00
11/08/2026,629.65,0.00,0.00,629.65,92.50,537.15,85.31%,0.00
10/08/2026,603.00,0.00,0.00,603.00,0.00,603.00,100.00%,0.00
09/08/2026,588.00,0.00,0.00,588.00,0.00,588.00,100.00%,0.00
08/08/2026,1761.00,0.00,0.00,1761.00,723.00,1038.00,58.94%,0.00
07/08/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
06/08/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
05/08/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
04/08/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
03/08/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
02/08/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
01/08/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
31/07/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
30/07/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
29/07/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
28/07/2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
