Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Route 98 - Minimart],Price [Route 98 - Minimart],In stock [Route 98 - Minimart],Low stock [Route 98 - Minimart]
misc,10235,#misc,,,N,,,,,,,0.00,,,,N,Y,variable,,
#styrocups-w/-stirrer-2,9800170,#StyroCups w/ stirrer,,,N,,,,,,,0.00,,,,Y,Y,5.00,71.000,
1-case-softdrinks,10237,1 Case Softdrinks,DRINKS,,N,,,,,,,210.00,,,,N,Y,230.00,,
555-sardines-155g,10261,555 SARDINES 155G,FOOD,,N,,,,,,,23.45,748485200019,,,Y,Y,26.00,9.000,
555-sardines-155g-1,10262,555 SARDINES 155G,FOOD,,N,,,,,,,23.45,748485200019,,,Y,Y,25.98,6.000,
absolute-6000ml,10277,ABSOLUTE 6000ML,DRINKS,,N,,,,,,,72.00,4800014700004,,,Y,Y,85.00,2.000,
advance-10w-40-800ml,10351%,ADVANCE 10W-40 800ML,SHELL,,N,,,,,,,0.00,5011987095304,,,Y,Y,353.00,7.000,
advance-15w-40-800ml,10351.,ADVANCE 15W-40 800ML,SHELL,,N,,,,,,,0.00,5011987090453,,,Y,Y,289.00,6.000,
advance-20w-40-800ml,1035,ADVANCE 20W-40 800ML,SHELL,,N,,,,,,,0.00,5011987060593,,,N,Y,269.00,,
advance-sx2-200ml,12420695,ADVANCE SX2 200ML,SHELL,,N,,,,,,,0.00,,,,Y,Y,59.00,27.000,
advance-sx2-with-decarbonizer-1l,10351@,ADVANCE SX2 WITH DECARBONIZER 1L,SHELL,,N,,,,,,,0.00,5011987061538,,,Y,Y,289.00,14.000,4.000
ajinomoto-ssning,10045,AJINOMOTO SEASONING,FOOD,,N,,,,,,,0.00,4801958341100,,,Y,Y,4.98,444.000,
alaska-condensada,10471,ALASKA CONDENSADA 300ML,FOOD,,N,,,,,,,56.00,4800575130302,,,Y,Y,66.00,3.000,
alaska-evaporada,10473,ALASKA EVAPORADA 360ML,FOOD,,N,,,,,,,36.00,4800575140370,,,Y,Y,46.00,3.000,
alfonso-light-1l,10274,ALFONSO LIGHT 1L,DRINKS,,N,,,,,,,278.46,8410028900091,,,Y,Y,319.98,1.000,
angel-evaporada,10477,ANGEL EVAPORADA 410ML,FOOD,,N,,,,,,,61.00,748485400716,,,Y,Y,71.00,3.000,
angel-kremdensada,10476,ANGEL KREMDENSADA 410ML,FOOD,,N,,,,,,,33.50,748485401225,,,Y,Y,44.00,3.000,
argentina-beef-loaf-170g,10482,ARGENTINA BEEF LOAF 170G,FOOD,,N,,,,,,,25.00,748485800097,,,Y,Y,30.00,6.000,
ariel-lau--pwd-90gx168-srf-ghs,98000002,ARIEL POWDER TWIN JUMBO PACK FLORAL PASSION,Cleaning/Laundry Supplies,,N,,,,,,,15.12,4902430583183,,,Y,Y,19.98,18.000,10.000
ariel-(twin-jumbo-pack)-with-downy,98000001,ARIEL POWDER TWIN JUMBO PACK FRESH GARDEN BLOOM,Cleaning/Laundry Supplies,,N,,,,,,,15.12,4987176067029,,,Y,Y,19.98,30.000,10.000
ariel-power-liquid-floral-passion,98000005,ARIEL POWER LIQUID FLORAL PASSION,Cleaning/Laundry Supplies,,N,,,,,,,14.12,4902430764902,,,Y,Y,18.98,12.000,3.000
ariel-power-liquid-sunrise-fresh,98000004,ARIEL POWER LIQUID SUNRISE FRESH,Cleaning/Laundry Supplies,,N,,,,,,,14.32,4902430764858,,,Y,Y,18.98,11.000,
ariel-tipid-3x-sunrise-fresh,980000032,ARIEL TIPID 3X SUNRISE FRESH,Cleaning/Laundry Supplies,,N,,,,,,,20.32,4987176116833,,,Y,Y,26.98,24.000,5.000
ariel-sunrise-fresh-t,98000003,ARIEL TWIN JUMBO POWDER SUNRISE FRESH 66G,Cleaning/Laundry Supplies,,N,,,,,,,15.12,4902430583169,,,Y,Y,19.98,59.000,20.000
axion,10021,AXION,Cleaning/Laundry Supplies,<p>KALAMANSI / GREEN</p>,N,,,,,,,0.00,9556031097058,,,Y,Y,12.98,34.000,
baguio-pure-coconut-175ml,9800027,BAGUIO PURE COCONUT 175ML,HOME ESSENTIALS,,N,,,,,,,48.00,4804880214122,,,Y,Y,55.00,3.000,
baguio-pure-coconut-60ml,98000128,BAGUIO PURE COCONUT 60ML,HOME ESSENTIALS,,N,,,,,,,23.00,4804880214146,,,Y,Y,29.90,6.000,
bambi-premium-vegetable-oil-100ml,98000129,BAMBI PREMIUM VEGETABLE OIL 100ML,HOME ESSENTIALS,,N,,,,,,,32.95,4806501141572,,,Y,Y,42.85,6.000,
bareta-bar-blue,10093,BARETA BAR BLUE,Cleaning/Laundry Supplies,,N,,,,,,,0.00,4806020491417,,,Y,Y,24.98,14.000,
bareta-bar-kalamansi,10092,BARETA BAR KALAMANSI,Cleaning/Laundry Supplies,,N,,,,,,,0.00,4806020491431,,,Y,Y,24.98,7.000,
bareta-bar-speckled-blue,10095,BARETA BAR SPECKLED BLUE,Cleaning/Laundry Supplies,,N,,,,,,,0.00,4806020491448,,,Y,Y,24.98,14.000,
bareta-bar-w/-fabcon,10101,BARETA BAR W/ FABCON,Cleaning/Laundry Supplies,,N,,,,,,,0.00,4806020491509,,,Y,Y,25.98,9.000,
bbrand-swak,10169,BEAR BRAND SWAK,FOOD,,N,,,,,,,9.00,4800361410816,,,Y,Y,15.00,15.000,
bbrand-swak-choco,10170,BEAR BRAND SWAK CHOCO,FOOD,,N,,,,,,,9.00,4800361409117,,,Y,Y,15.00,5.000,
bestguard-epoxy-steel,10313,BESTGUARD EPOXY STEEL,HOME ESSENTIALS,,N,,,,,,,0.00,6955107678161,,,Y,Y,44.98,14.000,
bingo-corned-beef-150g,10481,BINGO CORNED BEEF 150G,FOOD,,N,,,,,,,22.45,4800249005776,,,Y,Y,28.00,6.000,
blkchili-bbq-7g,10180,BLACK CHILI BBQ 7G,SNACKS,,N,,,,,,,0.00,4800365221036,,,Y,Y,2.00,5.000,
black-chili-cchips-bbq,10187,BLACK CHILI CORN CHIPS BBQ,SNACKS,,N,,,,,,,8.25,4800365221067,,,Y,Y,11.50,4.000,
buenas-kaong-white-227g,10446,BUENAS KAONG WHITE 227G,FOOD,,N,,,,,,,69.50,4806514652164,,,Y,Y,80.00,2.000,
buenas-nata-de-coco-green,10448,BUENAS NATA DE COCO GREEN,FOOD,,N,,,,,,,53.25,4806514652140,,,Y,Y,60.00,2.000,
buenas-nata-de-coco-red,10447,BUENAS NATA DE COCO RED,FOOD,,N,,,,,,,53.25,4806514652157,,,Y,Y,60.00,2.000,
c2-green-tea-lemon-1l,98000054,C2 GREEN TEA APPLE 1L,DRINKS,,N,,,,,,,44.42,4800016052774,,,Y,Y,57.75,0.000,
c2-green-tea-apple-335mlx24,98000051,C2 GREEN TEA APPLE 335ML,DRINKS,,N,,,,,,,22.08,4800016052040,,,Y,Y,28.75,13.000,
c2-green-tea-lemon-1l-1,980000055,C2 GREEN TEA LEMON 1L,DRINKS,,N,,,,,,,44.42,4800016052767,,,Y,Y,57.75,8.000,
c2-green-tea-lemon-335ml,98000052,C2 GREEN TEA LEMON 335ML,DRINKS,,N,,,,,,,22.09,4800016052057,,,Y,Y,28.75,13.000,
c2-230ml,10129,C2 SOLO APPLE 230ML,DRINKS,,N,,,,,,,11.79,4800016068010,,,Y,Y,17.00,22.000,
c2-solo-lemon,98000053,C2 SOLO LEMON 230ML,DRINKS,,N,,,,,,,15.32,4800016068195,,,Y,Y,17.00,12.000,
camel-premium-tabaccos,98000113,CAMEL PREMIUM TABACCOS KAHA,CIGARETTE,,N,,,,,,,145.00,40329055,,,Y,Y,165.00,0.000,
camel-premium-tabaccos-stick,98000114,CAMEL PREMIUM TABACCOS STICK,,,N,,,,,,,7.25,40329055,,,Y,Y,10.00,14.000,
cdo-homestyle-corned-beef-150g,10479,CDO HOMESTYLE CORNED BEEF 150G,FOOD,,N,,,,,,,36.80,4800249044188,,,Y,Y,42.00,6.000,
ntrisnk-cheezit,10138,CHEEZ IT,SNACKS,,N,,,,,,,8.25,4800523220079,,,Y,Y,10.00,16.000,
cheez-it-60g,10324,CHEEZ IT 60G,SNACKS,,N,,,,,,,18.25,4800523220086,,,Y,Y,23.75,3.000,
cb-clfrna-crnch,10198,CHICK BOY ONION & GARLIC 30G,SNACKS,,N,,,,,,,9.22,4806505854522,,,Y,Y,11.98,45.000,
cb-txs-bbq,10197,CHICK BOY TEXAS BBQ 30G,,,N,,,,,,,10.00,4806505854539,,,Y,Y,11.98,43.000,
chippy-bbq-108g,10217,CHIPPY BBQ 108G,SNACKS,,N,,,,,,,21.35,4800016643095,,,Y,Y,28.75,7.000,
chippy-bbq-25g,10143,CHIPPY BBQ 25G,SNACKS,,N,,,,,,,6.30,4800016642029,,,Y,Y,9.75,20.000,
chippy-chili-&-cheese-108g,98000065,CHIPPY CHILI & CHEESE 108G,SNACKS,,N,,,,,,,21.35,4800016641503,,,Y,Y,28.75,8.000,
chippy-chilicheese,10144,CHIPPY CHILI CHEESE 25G,SNACKS,,N,,,,,,,6.30,4800016641008,,,Y,Y,9.75,22.000,
chiz-curls-18g,10266,CHIZ CURLS 18G,SNACKS,,N,,,,,,,7.25,4800016105746,,,Y,Y,9.75,1.000,
chuckie-110ml,10268,CHUCKIE 110ML,DRINKS,,N,,,,,,,13.20,,,,Y,Y,16.00,0.000,
closeup-cool-miint,10427,CLOSEUP COOL MIINT,HOME ESSENTIALS,,N,,,,,,,8.50,8999999556280,,,Y,Y,12.00,12.000,
closeup-menthol-fresh,10430,CLOSEUP MENTHOL FRESH,HOME ESSENTIALS,,N,,,,,,,8.90,4800888147240,,,Y,Y,12.00,12.000,
closeup-red-hot,10428,CLOSEUP RED HOT,HOME ESSENTIALS,,N,,,,,,,8.90,4800888147288,,,Y,Y,12.00,12.000,
cloud-9-clssc,10231,CLOUD 9 CLASSIC,SNACKS,,N,,,,,,,6.35,4800010961447,,,Y,Y,10.00,93.000,
cloud-9-pack,10020,CLOUD 9 PACK,SNACKS,,N,,,,,,,76.20,4800010781076,,,N,Y,variable,,
cloud-9-pack-1,1200,CLOUD 9 PACK,SNACKS,,N,,,,,,,76.20,4800010781076,,,N,Y,108.00,,
clover-cheesier,10317,CLOVER CHEESIER 24G,SNACKS,,N,,,,,,,7.50,4800216120013,,,Y,Y,10.00,4.000,
clvb-1ltr,10273,CLVB 1 LTR,DRINKS,,N,,,,,,,145.00,4800142119648,,,Y,Y,185.00,3.000,
clvb-1.5-ltr,98000039,CLVB 1.5 LTR,DRINKS,,N,,,,,,,211.20,4800142119655,,,Y,Y,255.00,2.000,
cobra-energy-drink-astig-290ml-2,980000560,COBRA  ASTIG 290ML,DRINKS,,N,,,,,,,16.58,,,,Y,Y,21.50,7.000,
cobra-energy-drink-astig-citrus-blast-290ml-2,98000093,COBRA  ASTIG CITRUS BLAST 290ML,,,N,,,,,,,16.58,,,,Y,Y,21.50,18.000,
cobra-energy-drink-330ml,10241,COBRA ASTIG 330ML,DRINKS,,N,,,,,,,20.00,4800611546760,,,Y,Y,25.00,0.000,5.000
cobra-energy-drink-astig-290ml,10351,COBRA ENERGY DRINK ASTIG 290ML,DRINKS,,N,,,,,,,16.58,,,,N,Y,21.50,,
cobra-energy-drink-astig-290ml-1,98000055,COBRA ENERGY DRINK ASTIG 290ML,DRINKS,,N,,,,,,,16.58,,,,N,Y,21.50,,
cobra-energy-drink-astig-citrus-blast-290ml,98000070,COBRA ENERGY DRINK ASTIG CITRUS BLAST 290ML,,,N,,,,,,,16.58,,,,Y,Y,21.50,24.000,
cobra-energy-drink-astig-citrus-blast-290ml-1,98000088,COBRA ENERGY DRINK ASTIG CITRUS BLAST 290ML,,,N,,,,,,,16.58,,,,Y,Y,21.50,23.000,
