Date,Receipt number,Receipt type,Category,SKU,Item,Variant,Modifiers applied,Quantity,Gross sales,Discounts,Net sales,Cost of goods,Gross profit,Taxes,Dining option,POS,Store,Cashier name,Customer name,Customer contacts,Comment,Status
20/09/2026 18:10,2-1096,Sale,Cleaning/Laundry Supplies,980000027,DOWNY KONTRA  GERMS 26ML,,,12.000,107.76,0.00,107.76,74.76,33.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 18:00,2-1095,Sale,DRINKS,10084,RED HORSE LITRO,,,1.000,145.00,0.00,145.00,120.00,25.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 17:59,2-1094,Sale,SNACKS,10258,NIPS WHITE CHOCO PACK,,,1.000,35.00,0.00,35.00,28.95,6.05,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 17:59,2-1094,Sale,SNACKS,10394,MUNCHER GREEN PEAS,,,12.000,24.00,0.00,24.00,13.08,10.92,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 17:57,2-1093,Sale,CIGARETTE,98000117,WINSTON RED STICK,,,4.000,48.00,0.00,48.00,36.40,11.60,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 17:48,2-1092,Sale,DRINKS,98000046,COCA COLA 1.75L,,,1.000,84.75,0.00,84.75,61.67,23.08,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 17:48,2-1091,Sale,ICE,10298,ICE CUBE 1KG,,,1.000,25.00,0.00,25.00,13.00,12.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 17:44,2-1090,Sale,,98000110,MIGHTY PULA  STICK,,,1.000,10.00,0.00,10.00,8.02,1.98,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 17:44,2-1090,Sale,CIGARETTE,98000117,WINSTON RED STICK,,,1.000,12.00,0.00,12.00,9.10,2.90,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 17:39,2-1089,Sale,SNACKS,10217,CHIPPY BBQ 108G,,,1.000,28.75,0.00,28.75,21.35,7.40,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 17:39,2-1089,Sale,DRINKS,10084,RED HORSE LITRO,,,2.000,290.00,0.00,290.00,240.00,50.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 17:39,2-1089,Sale,,10235,"#misc",,,1.000,3.00,0.00,3.00,0.00,3.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 17:28,2-1088,Sale,DRINKS,10084,RED HORSE LITRO,,,1.000,145.00,0.00,145.00,120.00,25.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 17:25,2-1087,Sale,,98000116,WINSTON WHITE STICK,,,1.000,12.00,0.00,12.00,9.92,2.08,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 17:05,2-1086,Sale,DRINKS,10083,RED HORSE 500,,,1.000,75.00,0.00,75.00,60.00,15.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 17:05,2-1086,Sale,,98000110,MIGHTY PULA  STICK,,,1.000,10.00,0.00,10.00,8.02,1.98,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 17:00,2-1085,Sale,SNACKS,10263,PILLOWS UBE 24G,,,1.000,9.00,0.00,9.00,6.75,2.25,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 16:51,2-1084,Sale,ICE CREAM 🍦,10364,CREAMLINE CUP CHOCO MUD PIE 210ML,,,2.000,59.00,0.00,59.00,46.88,12.12,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 16:40,2-1083,Sale,DRINKS,10383,ROYAL 1.75L,,,1.000,84.75,0.00,84.75,61.67,23.08,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 16:40,2-1083,Sale,DRINKS,10252,Royal 1.5L,,,1.000,75.00,0.00,75.00,0.00,75.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 16:40,2-1083,Sale,SNACKS,10401,MARTY'S CRACKLINGS CHICK INSL 90G,,,1.000,28.50,0.00,28.50,21.90,6.60,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 16:32,2-1082,Sale,,10235,"#misc",,,1.000,3.00,0.00,3.00,0.00,3.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 16:31,2-1081,Sale,DRINKS,10084,RED HORSE LITRO,,,1.000,145.00,0.00,145.00,120.00,25.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 16:31,2-1081,Sale,ICE,10298,ICE CUBE 1KG,,,1.000,25.00,0.00,25.00,13.00,12.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 16:31,2-1081,Sale,SNACKS,10402,MARTY'S CRACKLINGS SPCY VNGR 90G,,,1.000,28.50,0.00,28.50,21.90,6.60,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 16:23,2-1080,Sale,CIGARETTE,98000117,WINSTON RED STICK,,,1.000,12.00,0.00,12.00,9.10,2.90,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 16:22,2-1079,Sale,DRINKS,10257,SUMMIT (1000ML),,,1.000,25.00,0.00,25.00,0.00,25.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 16:02,2-1078,Sale,DRINKS,98000135,DELIGHT PROBIOTIC 400ML,,,1.000,60.00,0.00,60.00,48.00,12.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
